participant_id,allowance_level,z_agreeable,weighted_prosocial,z_weighted_prosocial,direct_effect,anchored_pb,z_direct_effect,z_anchored_pb,income_high,di_i,disclose
0,3.0,-0.7931797541196609,-0.07490958782157574,-0.8717517322588422,-0.06514648459879073,-0.7385940169152051,-1.8883490740081594,-2.846520823226014,0,-0.19417453700407972,N
1,4.0,1.350035229096286,0.2170787125832302,2.5262286075006943,0.04463098814469276,2.4412332578978875,1.2936827774228685,9.408445159062271,1,6.1010639682425705,Y
2,1.0,-0.30202632046600686,0.010005158016228179,0.11643387830333526,0.03578231858053249,0.0025451910064279437,1.037193465979709,0.009809095433975712,0,1.2685967329898546,Y
3,1.0,1.4839861655472824,0.019498280138514,0.226908997647989,0.021932406461675533,0.08540153051491825,0.6357371343632615,0.32913512617039736,0,1.0678685671816308,Y
4,1.0,1.0821333561942936,0.013420814399583342,0.15618318751169824,0.02748203408852595,0.03235717291270018,0.7965997542696563,0.12470364553101984,0,1.148299877134828,Y
5,3.0,-1.105731939171995,-0.019020776509350867,-0.221352103958034,0.07555051058184886,-0.250794295689599,2.1899222586866363,-0.9665542485821471,0,1.8449611293433181,Y
6,1.0,0.6356302346909621,0.12246641601433136,1.4251888631174108,0.03374621974801708,1.2366482376143606,0.9781746966838913,4.766007953973397,0,1.2390873483419456,Y
7,3.0,0.5909799225406479,0.028145735468842803,0.32754276674308264,0.09747263193879682,0.1608768573362385,2.825361266940592,0.6200149390532332,0,2.1626806334702957,Y
8,5.0,-0.2573760083156736,0.010554566763646613,0.12282755955574008,0.0054852455441140625,0.00734045194573156,0.15899642793814606,0.028289897882849538,1,0.8436431629104978,Y
9,3.0,-1.1503822513223105,-0.13290019487302984,-1.546610767289954,-0.0918447939897353,-1.2447382931885391,-2.662231626941942,-4.797186803416471,0,-0.5811158134709711,N
10,3.0,0.4570289860896504,-0.06424952209378593,-0.7476964406140882,0.0014696081729121749,-0.6455525481816397,0.04259835737207287,-2.487941587396607,0,0.7712991786860365,Y
11,1.0,-0.5699281933680088,-0.0038717416608644376,-0.04505694928874195,0.015121031884524381,-0.06806556808815475,0.4383012641900787,-0.26232280856654194,0,0.9691506320950394,Y
12,3.0,0.6356302346909621,0.02852383413842326,0.33194284662279855,0.022252307146789937,0.16417691724602543,0.6450098398090066,0.6327332782706768,0,1.0725049199045034,Y
13,1.0,-0.12342507186467733,-0.09067351881691066,-1.0552026702766053,0.0060647939695704384,-0.8761822204285274,0.17579533488290774,-3.376781937398963,0,0.8378976674414539,Y
14,1.0,-0.8378300662700026,-0.08172772957013634,-0.9510970744632495,0.0344488023718844,-0.7981030235685106,0.9985398975901993,-3.0758668817218777,0,1.2492699487950998,Y
15,1.0,2.01978991135127,0.09830825404745999,1.1440510254220333,0.06949985476455472,0.7732580513454514,2.014536735122383,2.9801150489615953,0,1.7572683675611915,Y
16,1.0,0.14447680103731636,-0.02175299401378785,-0.25314797163887115,0.024498703497682163,-0.2746411964502269,0.7101243351679993,-1.0584595416524059,0,1.1050621675839998,Y
17,1.0,0.9035321075929558,-0.0006998111029281398,-0.008143971405698544,0.05242196292039293,0.060633888523078217,1.519513535504747,0.2336813219730183,0,1.5097567677523736,Y
18,1.0,0.8142314832923,-0.015831591462637587,-0.1842383289418332,0.06177340527869109,0.10533888596914043,1.790576320038493,0.40597314023600234,0,1.6452881600192466,Y
19,3.0,-0.2573760083156736,8.25124346938693e-05,0.0009602289902943172,-0.024670449180959852,0.11796940041954805,-0.7151025900036921,0.4546507920552019,0,0.39244870499815393,Y
20,4.0,0.3230780496386542,0.027575463985058415,0.3209062977902569,0.0008226300599704951,0.1558995056216192,0.023844919976317436,0.6008323638147309,1,1.062338641895524,Y
21,3.0,-0.7931797541196609,-0.0839718003268583,-0.9772121903833018,-0.0002441446720385376,-0.8176893605085498,-0.007076826450533543,-3.1513520801850317,0,0.7464615867747332,Y
22,4.0,0.7249308589916441,-0.02770052276339794,-0.3223616549724554,0.006772300527489249,-0.32655145895041504,0.19630326192960343,-1.2585202512734508,1,0.21889150532807633,Y
23,5.0,-0.03412444756402149,-0.06905886785876238,-0.8036646500726162,-0.06079242281521621,-0.05618668528209558,-1.7621413655213094,-0.2165419242245139,1,-0.23934164487291165,N
24,4.0,0.6356302346909621,0.045009389511006345,0.5237916055230456,0.024404716629165824,0.30806348642121073,0.707400012939029,1.1872681187373537,1,1.6973340658381915,Y
25,4.0,-0.9717810027209988,-0.03923092705066303,-0.4565454117301318,0.0014226943209730098,-0.4019355957189348,0.04123850304665432,-1.5490486202260314,1,-0.0039050585896885925,N
