Participant ID,original_index,income
716,0,22518.84511523634
717,1,38900.56637692299
718,2,10066.42212961333
719,3,12279.63589481696
720,4,13078.37771422347
722,5,24596.22531783561
723,6,13878.74930996251
724,7,24298.28035085462
725,8,68103.36770130036
726,9,21080.36798192325
727,10,24229.26164132099
729,11,12974.27413993545
730,12,21266.55265837653
732,13,10227.70067081447
733,14,10725.49006777982
734,15,12291.85487576321
736,16,12170.42118353059
738,17,10719.02931651224
739,18,10551.27688746243
740,19,23860.13855317665
741,20,39223.31895145902
742,21,22824.03965374014
743,22,38900.54754131273
744,23,42621.74736294561
745,24,36906.07987487585
746,25,30212.52922709263
747,26,9586.221616819732
748,27,22299.81797219851
750,28,28555.98327764875
751,29,50796.79370954497
753,30,16076.97212015483
754,31,10818.49200134209
755,32,54824.0745259608
759,33,44799.08675634102
760,34,16477.15591881575
762,35,18788.37341816409
763,36,48675.80239015947
764,37,27483.31598910343
765,38,12899.51622940994
766,39,37777.56148262119
767,40,33433.06745955405
768,41,24178.94698885114
769,42,24118.23661694297
770,43,29142.92907017133
771,44,61680.21565431209
772,45,25000.94825488067
773,46,17602.95220365298
775,47,19263.57161261888
776,48,37260.97209202901
777,49,25152.09126937739
778,50,48539.63662809592
779,51,16997.83940916699
780,52,96573.49808510278
781,53,15522.03253482006
784,54,64229.43721884835
786,55,13922.81157924397
787,56,36052.73741190306
789,57,28365.28713555755
791,58,20238.30956105997
792,59,21966.28102174978
793,60,23112.67631411781
795,61,18913.97063511316
797,62,38111.56778953558
799,63,33599.42912469733
800,64,56410.91628982881
801,65,65825.68334103336
802,66,71323.67475073553
803,67,79910.1706055037
805,68,47788.39630225618
806,69,15993.59248141252
807,70,25745.17615053353
808,71,13492.43662255813
809,72,17060.12256772961
810,73,62716.25951507495
811,74,15041.19008649825
812,75,23226.8134638349
813,76,55437.56933263619
814,77,23514.97477084368
815,78,6626.876604502399
816,79,22306.81890844651
817,80,4510.887371230412
818,81,10517.82644122328
819,82,18209.30472377372
821,83,19791.02811325905
824,84,46519.96036389485
828,85,32799.88266677069
829,86,16925.21319078255
830,87,33238.04805079817
831,88,9927.465374032574
832,89,32209.320448801
833,90,15236.88303616312
834,91,10605.64072186412
835,92,16995.70400970122
836,93,26786.30189485396
837,94,20470.6603465466
838,95,41413.02959030211
839,96,15691.69460453352
840,97,38844.91992637477
841,98,42227.75585757998
842,99,22996.59614214489
843,100,32819.02560728164
844,101,31053.66919077368
845,102,36861.79491583703
846,103,23412.34105307792
847,104,32587.03972606614
848,105,12296.03070550849
849,106,19273.0577993728
850,107,99366.40549626945
851,108,38061.73819326338
852,109,17228.19547834082
