Variable,Coefficient,Std_Error,t_value,p_value,CI_lower,CI_upper
const,-0.2836714213659464,5.198827838860094,-0.054564496105365325,0.9564854246033797,-10.473186747355934,9.90584390462404
TotalAllowance_std,1.8290394275381412,0.9317484688569828,1.963018441856851,0.04964403120139094,0.0028459859281146915,3.6552328691481675
Age_std,0.586877856699084,0.8464669054799329,0.6933264052022611,0.4881047357970738,-1.0721667921466544,2.245922505544822
SVO_type_std,1.3952114769981654,0.7741807321169014,1.8021779916727354,0.0715174061633214,-0.12215487547581283,2.9125778294721436
Prosocial_Motivation_std,0.03758531181649699,0.5161342997963254,0.07282079844592529,0.941948720128584,-0.9740193269700996,1.0491899506030937
Agreeable_std,1.1262292530136793,0.7100423773484437,1.5861437133082517,0.11270671266243606,-0.2654282340864691,2.517886740113828
Integrity_Honesty_std,-0.2682050587296079,0.6023524405888243,-0.4452626745687731,0.6561299384299479,-1.448794148283506,0.9123840308242903
Kindness_std,-0.12846302161427228,0.5704179626455559,-0.22520858392760001,0.8218170119619636,-1.2464616845342757,0.9895356413057311
Honesty_Humility_std,-0.09557327872488197,0.7269562977933545,-0.1314704597992901,0.8954031533821324,-1.5203814407344312,1.3292348832846672
NeuroticismBig5_std,0.5615039807528591,0.9171370537612963,0.612235628742792,0.5403818720293074,-1.236051613506457,2.359059575012175
ExtraversionBig5_std,0.7752378854730502,0.6969984229735798,1.1122519935779482,0.26602981838763795,-0.5908539208363812,2.141329691782482
OpennessBig5_std,-0.08287457638120645,0.4978239901950288,-0.16647364934891806,0.867784218577649,-1.058591667803484,0.892842515041071
ConscientiousnessBig5_std,-0.3201235448515214,0.8817885563277378,-0.36303889697173597,0.7165758280820512,-2.048397357233456,1.4081502675304134
HumanVS_std,-0.7234219997045381,0.5565050868011949,-1.2999378026583472,0.1936222873747896,-1.8141519270482167,0.36730792763914044
PosAffect_std,-0.2682890440813488,0.7853046300640851,-0.34163690599844665,0.7326241595685891,-1.8074578358995061,1.2708797477368086
LifeSatis_std,0.7225367429226967,0.6973899096943714,1.0360584988092898,0.3001748520687265,-0.6443223632599121,2.0893958491053053
SubHappy_std,0.940995811375121,1.0150847641346676,0.9270120532025663,0.35392027623081057,-1.0485337675841633,2.930525390334405
ClassSystemJust_std,0.338302726105101,1.033656467119753,0.3272873888631196,0.7434505299077638,-1.6876267218365255,2.3642321740467276
EconomicBelief_std,0.2583423473909964,0.7159197760404791,0.360853766073909,0.7182087673702886,-1.144834629468324,1.661519324250317
SupportEquality_std,0.8261196177004692,0.8087267886676398,1.0215064336640607,0.30701456251991777,-0.7589557614208403,2.4111949968217785
SocialOrientation_std,-0.6339467069012679,0.670287617525716,-0.9457831091097937,0.3442592224610357,-1.9476862965348298,0.6797928827322941
Egalitarianism_std,0.13365158846669933,0.636900447453386,0.20984690621760183,0.8337871621655826,-1.1146503502793825,1.3819535272127812
RSDO_std,-0.2634262897562788,0.3222142881242654,-0.8175499953455994,0.41361419049072934,-0.894954689784051,0.3681021102714934
Religious_std,-0.9609784547761484,0.6720867287512995,-1.4298429260187804,0.15276210579885144,-2.278244237616036,0.3562873280637391
ReligiousService_std,-0.16454445956231162,0.6424424845369818,-0.256123253867467,0.7978556667158894,-1.4237085913932266,1.0946196722686035
IndividualIncome_std,-0.1901515199807287,0.6944915108744136,-0.27379963182172606,0.7842386065747466,-1.5513298688633868,1.1710268289019294
Dictator_1_std,0.05814188693016979,0.5868960505339167,0.099066754457244,0.9210852683031712,-1.0921532347851066,1.2084370086454461
Group_MidSub,0.2727089969135451,1.931688830167735,0.1411764631314169,0.8877305395310392,-3.5133315395535245,4.058749533380615
Group_NoSub,-1.4705845432751097,1.234623149690354,-1.1911201759370342,0.2336064103853318,-3.890401451147607,0.9492323645973879
Foreign_binary,1.3330080891345584,1.5829035049627145,0.842128458844974,0.3997160531012657,-1.7694257715945807,4.435441949863698
Education_2,3.7466857925462795,4.864012489129317,0.770287042009005,0.4411296411943548,-5.786603506500204,13.279975091592764
StudyProgram_Incoming,-0.8551929229068702,20.553598302006698,-0.0416079418475049,0.9668112420474279,-41.13950534754361,39.429119501729865
StudyProgram_Law 5-year Program,1.5703978507443228,3.993297858317537,0.3932583810329554,0.694128654104972,-6.256322131098981,9.397117832587627
StudyProgram_UG 3-year Program,2.7900731614119154,5.208476449662925,0.5356793274149256,0.5921801932736828,-7.418353094252464,12.998499417076296
TopPlatform_1,0.8547137210964297,1.0348641788852353,0.825918742319533,0.40885018796302297,-1.1735827984092475,2.8830102406021068
